/usr/local/lib/python2.7/dist-packages/sflock/decode/office.py:12: CryptographyDeprecationWarning: Python 2 is no longer supported by the Python core team. Support for it is now deprecated in cryptography, and will be removed in the next release.
  from cryptography.hazmat.backends import default_backend
2023-08-08 15:21:46,346 [cuckoo.core.startup] DEBUG: Imported modules...
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: Imported "auxiliary" modules:
2023-08-08 15:21:46,369 [cuckoo.core.startup] DEBUG: 	 |-- MITM
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- DumpedBuffer2
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- EncryptionKeys
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- EvalJS
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- HtmlFlash
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- JsIframe
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- PDFAttachments
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- PDFJavaScript
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- PDFOpenAction
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- PDFOpenActionJS
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- SuspiciousJavascript
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- DarwinCodeInjection
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- TaskForPid
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- DeadHost
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- NetworkBIND
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- NetworkCnCHTTP
2023-08-08 15:21:46,372 [cuckoo.core.startup] DEBUG: 	 |-- NetworkDNSTXTLookup
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- NetworkDynDNS
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- NetworkHTTP
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- NetworkHTTPPOST
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- NetworkICMP
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- NetworkIRC
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- NetworkSMTP
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- NoLookupCommunication
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- P2PCnC
2023-08-08 15:21:46,373 [cuckoo.core.startup] DEBUG: 	 |-- SnortAlert
